rank;method_name;line_number;suspiciousness_value
1;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1320;0.9871794871794873
2;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1323;0.9871794871794873
3;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1324;0.9871794871794873
4;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1325;0.9871794871794873
5;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1326;0.9871794871794873
6;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1327;0.9871794871794873
7;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1328;0.9871794871794873
8;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1330;0.9871794871794873
9;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1331;0.9871794871794873
10;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1332;0.9871794871794873
11;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1348;0.9871794871794873
12;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1350;0.9871794871794873
13;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1353;0.9871794871794873
14;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1354;0.9871794871794873
15;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1355;0.9871794871794873
16;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1356;0.9871794871794873
17;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1358;0.9871794871794873
18;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1359;0.9871794871794873
19;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1363;0.9871794871794873
20;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1384;0.9871794871794873
21;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1386;0.9871794871794873
22;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1387;0.9871794871794873
23;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1391;0.9871794871794873
24;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1395;0.9871794871794873
25;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1403;0.9871794871794873
26;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1410;0.9871794871794873
27;org.apache.commons.lang3.math$NumberUtils#isNumber(java.lang.String);1413;0.9871794871794873
28;org.apache.commons.lang3$StringUtils#isEmpty(java.lang.CharSequence);199;0.9506172839506173
29;org.apache.commons.lang3$StringUtils#<clinit>();163;0.9390243902439025
30;org.apache.commons.lang3.math$NumberUtils#<clinit>();41;0.6111111111111112
31;org.apache.commons.lang3.math$NumberUtils#<clinit>();43;0.6111111111111112
32;org.apache.commons.lang3.math$NumberUtils#<clinit>();45;0.6111111111111112
33;org.apache.commons.lang3.math$NumberUtils#<clinit>();47;0.6111111111111112
34;org.apache.commons.lang3.math$NumberUtils#<clinit>();49;0.6111111111111112
35;org.apache.commons.lang3.math$NumberUtils#<clinit>();51;0.6111111111111112
36;org.apache.commons.lang3.math$NumberUtils#<clinit>();53;0.6111111111111112
37;org.apache.commons.lang3.math$NumberUtils#<clinit>();55;0.6111111111111112
